original_row_index,Global_Planner,Controller,Footprint_type,Footprint,Inflation_radius,Inflation_cost_scale
1087,SmacLattice,DWB,1,"[[0.3,0.3], [-0.3,0.3], [-0.3,-1.3], [0.3, -1.3]]",0.3,25.0
1735,Thetastar,MPPI,0,1.2,0.7,25.0
1555,Thetastar,DWB,1,"[[0.3,0.3], [-0.3,0.3], [-0.3,-1.3], [0.3, -1.3]]",0.6,1.5
212,NavFn,DWB,1,"[[0.3,0.3], [-0.3,0.3], [-0.3,-1.3], [0.3, -1.3]]",0.6,6.0
1727,Thetastar,MPPI,0,1.2,0.6,25.0
1181,SmacLattice,MPPI,0,0.7,0.1,10.0
774,SmacHybrid,MPPI,0,0.7,0.6,20.0
484,SmacHybrid,DWB,0,0.275,0.5,6.0
591,SmacHybrid,DWB,0,1.2,0.4,25.0
1637,Thetastar,MPPI,0,0.7,0.2,10.0
1596,Thetastar,MPPI,0,0.275,0.4,6.0
557,SmacHybrid,DWB,0,0.7,0.7,10.0
516,SmacHybrid,DWB,0,0.7,0.2,6.0
537,SmacHybrid,DWB,0,0.7,0.4,50.0
780,SmacHybrid,MPPI,0,0.7,0.7,6.0
117,NavFn,DWB,0,1.2,0.1,10.0
818,SmacHybrid,MPPI,0,1.2,0.5,0.5
483,SmacHybrid,DWB,0,0.275,0.5,1.5
645,SmacHybrid,DWB,1,"[[0.3,0.3], [-0.3,0.3], [-0.3,-1.3], [0.3, -1.3]]",0.4,10.0
536,SmacHybrid,DWB,0,0.7,0.4,30.0
1770,Thetastar,MPPI,1,"[[0.3,0.3], [-0.3,0.3], [-0.3,-1.3], [0.3, -1.3]]",0.5,0.5
550,SmacHybrid,DWB,0,0.7,0.6,20.0
681,SmacHybrid,MPPI,0,0.275,0.1,50.0
1346,Thetastar,DWB,0,0.275,0.1,0.5
1520,Thetastar,DWB,1,"[[0.3,0.3], [-0.3,0.3], [-0.3,-1.3], [0.3, -1.3]]",0.1,30.0
1442,Thetastar,DWB,0,0.7,0.6,0.5
344,NavFn,MPPI,0,1.2,0.1,30.0
137,NavFn,DWB,0,1.2,0.3,50.0
1389,Thetastar,DWB,0,0.275,0.6,10.0
779,SmacHybrid,MPPI,0,0.7,0.7,1.5
1304,SmacLattice,MPPI,1,"[[0.3,0.3], [-0.3,0.3], [-0.3,-1.3], [0.3, -1.3]]",0.2,30.0
708,SmacHybrid,MPPI,0,0.275,0.5,6.0
481,SmacHybrid,DWB,0,0.275,0.4,50.0
894,SmacHybrid,MPPI,1,"[[0.3,0.3], [-0.3,0.3], [-0.3,-1.3], [0.3, -1.3]]",0.7,20.0
324,NavFn,MPPI,0,0.7,0.6,6.0
190,NavFn,DWB,1,"[[0.3,0.3], [-0.3,0.3], [-0.3,-1.3], [0.3, -1.3]]",0.3,20.0
126,NavFn,DWB,0,1.2,0.2,20.0
932,SmacLattice,DWB,0,0.275,0.5,6.0
499,SmacHybrid,DWB,0,0.275,0.7,1.5
51,NavFn,DWB,0,0.275,0.7,1.5
1506,Thetastar,DWB,0,1.2,0.7,0.5
1628,Thetastar,MPPI,0,0.7,0.1,6.0
1298,SmacLattice,MPPI,1,"[[0.3,0.3], [-0.3,0.3], [-0.3,-1.3], [0.3, -1.3]]",0.2,0.5
256,NavFn,MPPI,0,0.275,0.4,30.0
383,NavFn,MPPI,0,1.2,0.6,25.0
1545,Thetastar,DWB,1,"[[0.3,0.3], [-0.3,0.3], [-0.3,-1.3], [0.3, -1.3]]",0.4,50.0
1679,Thetastar,MPPI,0,0.7,0.7,25.0
1060,SmacLattice,DWB,0,1.2,0.7,6.0
776,SmacHybrid,MPPI,0,0.7,0.6,30.0
291,NavFn,MPPI,0,0.7,0.2,1.5
1759,Thetastar,MPPI,1,"[[0.3,0.3], [-0.3,0.3], [-0.3,-1.3], [0.3, -1.3]]",0.3,25.0
841,SmacHybrid,MPPI,0,1.2,0.7,50.0
80,NavFn,DWB,0,0.7,0.3,30.0
712,SmacHybrid,MPPI,0,0.275,0.5,30.0
613,SmacHybrid,DWB,0,1.2,0.7,10.0
702,SmacHybrid,MPPI,0,0.275,0.4,20.0
75,NavFn,DWB,0,0.7,0.3,1.5
866,SmacHybrid,MPPI,1,"[[0.3,0.3], [-0.3,0.3], [-0.3,-1.3], [0.3, -1.3]]",0.4,0.5
71,NavFn,DWB,0,0.7,0.2,25.0
903,SmacLattice,DWB,0,0.275,0.1,25.0
1605,Thetastar,MPPI,0,0.275,0.5,10.0
943,SmacLattice,DWB,0,0.275,0.6,25.0
418,NavFn,MPPI,1,"[[0.3,0.3], [-0.3,0.3], [-0.3,-1.3], [0.3, -1.3]]",0.4,0.5
1732,Thetastar,MPPI,0,1.2,0.7,6.0
1612,Thetastar,MPPI,0,0.275,0.6,6.0
1148,SmacLattice,MPPI,0,0.275,0.4,6.0
967,SmacLattice,DWB,0,0.7,0.2,25.0
809,SmacHybrid,MPPI,0,1.2,0.3,50.0
277,NavFn,MPPI,0,0.275,0.7,10.0
1391,Thetastar,DWB,0,0.275,0.6,25.0
78,NavFn,DWB,0,0.7,0.3,20.0
1500,Thetastar,DWB,0,1.2,0.6,6.0
309,NavFn,MPPI,0,0.7,0.4,10.0
604,SmacHybrid,DWB,0,1.2,0.6,6.0
356,NavFn,MPPI,0,1.2,0.3,6.0
746,SmacHybrid,MPPI,0,0.7,0.3,0.5
1114,SmacLattice,DWB,1,"[[0.3,0.3], [-0.3,0.3], [-0.3,-1.3], [0.3, -1.3]]",0.7,0.5
876,SmacHybrid,MPPI,1,"[[0.3,0.3], [-0.3,0.3], [-0.3,-1.3], [0.3, -1.3]]",0.5,6.0
1206,SmacLattice,MPPI,0,0.7,0.4,20.0
1015,SmacLattice,DWB,0,1.2,0.1,25.0
585,SmacHybrid,DWB,0,1.2,0.3,50.0
789,SmacHybrid,MPPI,0,1.2,0.1,10.0
32,NavFn,DWB,0,0.275,0.4,30.0
1562,Thetastar,DWB,1,"[[0.3,0.3], [-0.3,0.3], [-0.3,-1.3], [0.3, -1.3]]",0.7,0.5
1597,Thetastar,MPPI,0,0.275,0.4,10.0
1560,Thetastar,DWB,1,"[[0.3,0.3], [-0.3,0.3], [-0.3,-1.3], [0.3, -1.3]]",0.6,30.0
367,NavFn,MPPI,0,1.2,0.4,25.0
353,NavFn,MPPI,0,1.2,0.2,50.0
1709,Thetastar,MPPI,0,1.2,0.4,10.0
1718,Thetastar,MPPI,0,1.2,0.5,20.0
1407,Thetastar,DWB,0,0.7,0.1,25.0
101,NavFn,DWB,0,0.7,0.6,10.0
1043,SmacLattice,DWB,0,1.2,0.5,1.5
766,SmacHybrid,MPPI,0,0.7,0.5,20.0
373,NavFn,MPPI,0,1.2,0.5,10.0
1470,Thetastar,DWB,0,1.2,0.2,20.0
482,SmacHybrid,DWB,0,0.275,0.5,0.5
783,SmacHybrid,MPPI,0,0.7,0.7,25.0
170,NavFn,DWB,1,"[[0.3,0.3], [-0.3,0.3], [-0.3,-1.3], [0.3, -1.3]]",0.1,0.5
